Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
155;Python Backend Developer - from Middle to Senior;Санкт-Петербург;V4Scale; ; ; ; ;English, sufficient for interviews and participation in meetings (В2). Mixed international team.Proven experience in server-side Python programming, featuring: multi-threading, multi-processing, communication protocols, databases: - at least 2 years (Middle). - ;https://spb.hh.ru/vacancy/66795913?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
156;Backend - разработчик (Haskell);Москва;БИОКАД, биотехнологическая компания; ; ; ; ;На фронте TypeScript  React  RxJS  MaterialUI.Опыт использования Servant или другого web-фреймворка. Опыт написания тестов. Будет плюсом владение Python. Для Haskell Middle: Опыт в Production. ;https://spb.hh.ru/vacancy/50313520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
157;Middle/Senior developer python (Django);Москва, Парк Победы;Мангазея TECHNOLOGY;300000;300000;300000;руб;Участие в backend разработке back office и front office систем компании. Интеграция с торговыми сиcтемами компании и внешними сервисами. 3 года опыта в разработке ПО в качестве BackEnd разработчика Python. Опыт проектирования веб-приложения с нуля. Опыт работы с...;https://spb.hh.ru/vacancy/66521372?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
158;Разработчик Python (backend);Москва, Ботанический сад и еще 1 ;АО Точных Приборов, НИИ;120000;280000;200000;руб;Разрабатывать веб- приложения в команде на языке Python 3. Писать автоматические тесты для своего кода. Работа с системами контроля версий...Наличие высшего технического образования. Хорошее знание Python (мы используем Python 3). Опыт работы с AIOHTTP(FLASK, Django). Опыт работы с...;https://spb.hh.ru/vacancy/53701203?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
159;Backend Developer;Минск;Skipp.pro;3000;3000;3000;usd;Developing a service from scratch. Participate in the analysis and adoption of technological decisions. Development of unit tests, automated scripts...Excellent knowledge of Java. Experience as a Data Engineer. Will be plus the knowledge of Python and Golang.;https://spb.hh.ru/vacancy/66795633?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
160;Backend Developer;Тбилиси;Skipp.pro;3000;3000;3000;usd;Developing a service from scratch. Participate in the analysis and adoption of technological decisions. Development of unit tests, automated scripts...Excellent knowledge of Java. Experience as a Data Engineer. Will be plus the knowledge of Python and Golang.;https://spb.hh.ru/vacancy/66795605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
161;Backend Developer;Нур-Султан;Skipp.pro;3000;3000;3000;usd;Developing a service from scratch. Participate in the analysis and adoption of technological decisions. Development of unit tests, automated scripts...Excellent knowledge of Java. Experience as a Data Engineer. Will be plus the knowledge of Python and Golang.;https://spb.hh.ru/vacancy/66795588?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
162;Python Developer;Москва;Spice Agency;200000;350000;275000;руб;Участвовать в проработке архитектурных решений. Проектировать и реализовывать компоненты платформы. Активно взаимодействовать с коллегами из команды и смежных подразделений.Опыт разработки коммерческих программных продуктов на Python. Опыт использования асинхронных подходов в программировании (asyncio). Опыт работы с реляционными базами данных...;https://spb.hh.ru/vacancy/66533964?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
163;Программист / Разработчик / Аналитик / Developer / Front end программист / Back end программист;Москва, Автозаводская и еще 2 ;ИП Ахметов Владимир Рафаэльевич;60000;130000;95000;руб;автоматизация бизнес процессов.  систематизация данных.  работа с базами данных ( в Google Tables).  работа с базами данных и проведение аналитики по...знание Python.  опыт работы с API, серверами.  знание SQL/Power Bi будет существенным бонусом.  желание расти и развиваться.  ;https://spb.hh.ru/vacancy/55904048?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
164;Full stack разработчик (Python);Москва, Алтуфьево и еще 1 ;ЛогЛаб;160000;220000;190000;руб;Разработка и развитие корпоративных Web приложений и сайтов. Разработка API для Web приложений и интеграции с другими информационными системами. Владение технологиями сборки проекта: Webpack или Gulp. Стек технологий Back-end: Python Django, asyncio (приветствуется), aiohttp (приветствуется). СУБД: Oracle 11...;https://spb.hh.ru/vacancy/55471391?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
