Index;Титульник;Город;Компания;ЗпОт;ЗпДо;СрЗп;Валюта;Описание;Ссылка
1;Junior +/Middle Backend Разработчик (Python, Django);Алматы;ТОО Учёт. Бухгалтерия; ; ; ; ;Умение и готовность работать в команде – обсуждать, предлагать и аргументировать решения. Поддержка и развитие продукта Компании (новые фичи, доработка текущих...Опыт разработки на Python. Знание Celery, FastAPI, Redis. Знание RabbitMQ, gRPC, git, Docker. Умение работать с REST API. ;https://spb.hh.ru/vacancy/66748891?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
2;Middle Python backend developer;Москва, Аэропорт;Федеральное автономное учреждение Государственный Научно-Исследовательский Институт Авиационных Систем;90000;180000;135000;руб;Разработка веб-приложений и микросервисов. Участие в разработке архитектур проектов. Ведение и поддержка в актуальном состоянии технической документации и тестов. Опыт коммерческой разработки проектов на языке Python от 2-х лет. Знание актуальных стабильных версии Django / DRF / Flask / FastAPI. ;https://spb.hh.ru/vacancy/66742689?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
3;Middle/Senior Python Developer;Москва;ООО БОЛЬШАЯ ТРОЙКА;120000;300000;210000;руб;Проектировать и разрабатывать серверные приложения (backend) сложных web-порталов в agile команде. Архитектура сложных API. Проектирование и создание аналитических витрин...От 3 лет промышленной разработки на Python. Понимание подходов к проектированию архитектуры API (openapi). Отличное знание и владение: Python. ;https://spb.hh.ru/vacancy/66919282?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
4;Back-end разработчик;Москва;Own Script;150000;150000;150000;руб;Анализ задач и проектирование под них БД. Разработка бизнес логики под требования компании (имеется собственная платформа). Внедрений и поддержка новых...Знание SQL. Опыт проектирования БД от 1 года. Опыт работы с какой либо СУБД (желательно PostgreSQL). Навыки алгоритмизации. ;https://spb.hh.ru/vacancy/66909894?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
5;Linux Backend Developer;Москва;Plesk; ; ; ; ;Написание и модификация существующего кода на C/C/Python/Bash по интеграции Linux-сервисами. Сборка, и выпуск продукта в виде...2 года разработки системного ПО под Linux на C/C (STL, Boost) или Python. Базовые навыки администрирования и средств разработки...;https://spb.hh.ru/vacancy/66905842?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
6;Middle/Senior Backend Developer;Москва;ООО Ассистагро;200000;200000;200000;руб;Участие в создании сложного продукта, который станет лидером среди AgriTech решений в СНГ.Опыт коммерческой разработки от 2-х лет. Знание Python. Опыт работы с Flask/Django. Опыт работы с Redis, RabbitMQ, Celery. ;https://spb.hh.ru/vacancy/55871043?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
7;Бэк-энд разработчик (Python, SQL);Москва;ВАВТ МИНЭКОНОМРАЗВИТИЯ РОССИИ;100000;160000;130000;руб;Разработка API сервисов. Языка программирования Python. Объектно-ориентированного программирования, алгоритмов и структур данных. SQL и организации реляционных СУБД. Необходимо знание: Принципов построения REST API. Дистанционную работу (по желанию исполнителя). Необходим высокоскоростной доступ к Интернет для работы через Zoom...;https://spb.hh.ru/vacancy/55820857?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
8;Backend разработчик (FastAPI);Москва, Калужская;idaproject;90000;90000;90000;руб;Участвовать в разработке крупного проекта на основе микросервисной архитектуры. Разрабатывать сервисы на основе методологии TDD. Интегрировать сервисы со сторонними системами. Python и фреймворком FastAPI. SQL, опыт работы с PostgreSQL. Git. Linux. Docker. Знакомство с Clean Architecture. Опыт работы с Django...;https://spb.hh.ru/vacancy/55581294?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
9;QA Engineer (Backend);Самара;Тинькофф; ; ; ; ;Тестирование кредитных продуктов. Автоматизация тестирования. Проведение модульного, интеграционного, системного и функционального тестирования. Изучать продукты компании и пользовательские сценарии их использования.Опыт интеграционного тестирования (системная интеграция, компонентная интеграция). Опыт тестировании API (SOAP/REST). Опыт работы с очередями (MQ, kafka). ;https://spb.hh.ru/vacancy/52830106?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
10;Middle Python Developer;Санкт-Петербург;буше; ; ; ; ;"Разработка и поддержка: клиент-серверной архитектуры; .py скриптов обработки данных. Создание внутренних ad-hoc продуктов (более 5 проектов в стадии...Опыт поддержки работоспособности стендов dev/test/production. Опыт создание бэкенда (мы используем Flask). Опыт работы с системой контроля версий (Git). ";https://spb.hh.ru/vacancy/66101965?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
11;Python Backend Developer / WEB - разработчик;Москва;ООО Перфект Системс;220000;280000;250000;руб;Обязанности web-разработка, 85% backend / 15% database.Знание возможностей Python и экосистемы Python (модули, IDE, shell & bash). Опыт настройки среды Linux / Unix с помощью инструментов Python. ;https://spb.hh.ru/vacancy/55197951?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
12;Программист-разработчик Python;Екатеринбург;ООО Мелдана;150000;150000;150000;руб;Разработка программного обеспечения системы контроля доступа. Работа с периферией (терминалы, турникеты, контроллеры, интеграции). Проектирование архитектуры компонентов, программных интерфейсов и методов...Работал с Python 3, веб-фреймоворками (Flask, Django). Знает классические алгоритмы и структуры баз данных, сортировки. Преимуществом будет опыт работы...;https://spb.hh.ru/vacancy/55845528?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
13;PHP developer (backend/fullstack);Москва, Смоленская и еще 1 ;modesco;150000;230000;190000;руб;Интеграции с внешними сервисами. Можешь писать (или читать код) на python и(или) go. Писал или поддерживал API. Имеешь опыт разработки на PHP от 3-х лет и хорошо понимаешь его возможности. Умеешь писать и оптимизировать сложные SQL...;https://spb.hh.ru/vacancy/55300277?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
14;Python разработчик (backend);Санкт-Петербург;билайн: ИТ, Data, Digital; ; ; ; ;Разработка новых продуктов на языке python. Взаимодействие с мобильным приложением со стороны backend. Интеграция системы с другими внутренними проектами. Опыт Python от 2-3 лет. Умение выбирать оптимальный стек под продукт/задачу, работать с легковесными фреймворками. Опыт работы в...;https://spb.hh.ru/vacancy/66957933?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
15;Linux Backend Developer;Томск;Plesk; ; ; ; ;Написание и модификация существующего кода на C/C/Python/Bash по интеграции Linux-сервисами. Сборка, и выпуск продукта в виде...2 года разработки системного ПО под Linux на C/C (STL, Boost) или Python. Базовые навыки администрирования и средств разработки...;https://spb.hh.ru/vacancy/55840605?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
16;Python Backend Developer;Ростов-на-Дону;DBI; ; ; ; ;Работа с БД через SQL запросы или SQLAlchemy. Формирование структуры backend проекта. Поддержание качества кода. Взаимодействие с Front разработчиками в...Уверенное знание языка и библиотек Python. Знание фреймворка Flask/Pyramid/Tornado/Django. Базовые знания HTML, CSS, JavaScript – для верстки страниц. ;https://spb.hh.ru/vacancy/66744408?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
17;Backend Python developer;Москва;KRK Group;180000;250000;215000;руб;...количество пасов и т.д. - PyTorch(ML). - Работали с ML. - Backend разработка. - Улучшение архитектуры под будущие нагрузки. - Администрирование приложения. - Будет здорово, но необязательно если вы:;https://spb.hh.ru/vacancy/66711223?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
18;Инженер по автоматизированному тестированию/QA Python;Санкт-Петербург, Выборгская;Протей, НТЦ; ; ; ; ;...обеспечение (backend). Тестировать решения компании по интеграции со сторонним оборудованием. Поддерживать существующие и разрабатывать новые функциональные автотесты (мы используем Python...Понимание сетевых протоколов (модель OSI, стек TCP/IP - описание, сравнение, примеры). Опыт программирования на python. Опыт работы с БД на...;https://spb.hh.ru/vacancy/66916942?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
19;Программист Python;Москва;Group-IB; ; ; ; ;AssetZero — комплексное и основанное на данных киберразведки SaaS-решение, позволяющее организациям оценивать поверхность атаки и управлять ею. Решение обеспечивает полную...Знаешь базовые алгоритмы и структуры данных. Обладаешь средними знаниями SQL и реляционных БД (mysql/postgresql/oracle/mssql, индексы). ;https://spb.hh.ru/vacancy/55390481?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
20;Machine Learning + Python Developer;Санкт-Петербург, Спортивная;ООО Т.Т.Консалтинг;120000;120000;120000;руб;Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на Python. Запуск и управление инференсом моделей под Intel...Опыт работы с web, как в backend (REST API, WSS, Django), так и во frontend (второе на уровне понимания). ;https://spb.hh.ru/vacancy/55858592?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
21;Backend Developer на Python (Middle/Senior);Санкт-Петербург;Creative;130000;130000;130000;руб;Hello, World! Мы та самая компания с верандой на крыше и звёздными войнами головного мозга. Не, не слышали? Заполняем пробелы. Обязательно: Знаешь язык Python: Типы данных и как их эффективно применять. Итераторы, генераторы. Обладаешь знаниями: Принципов написания кода (DRY, KISS...;https://spb.hh.ru/vacancy/55551158?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
22;Senior Python Backend Developer (to Cyprus);Москва;FaceApp; ; ; ; ;Development of API for an application with hundreds of millions of users. Development of database architectures (PostgreSQL). Design and development...Expert knowledge of Python 3. Experience with relational databases (for example, PostgreSQL, MySQL). Knowledge of basic network protocols. ;https://spb.hh.ru/vacancy/55005394?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
23;Junior Backend Developer (Python);Москва;Postuf; ; ; ; ;Работа с высоконагруженными сервисами. Поддержка и развитие существующих решений - бэкенд, базы данных, очереди задач. Оптимизация приложений и внедрение лучших практик...Опыт разработки на Python. Общее понимание принципов ООП. Базовое знание SQL и опыт работы с базами данных. Плюсом будет работа...;https://spb.hh.ru/vacancy/47348712?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
24;Разработчик бэкэнд (Python);Москва, Кузнецкий мост и еще 2 ;АНО Инфокультура;150000;150000;150000;руб;Опыт в использовании Python от 3 лет. - Опыт работы с PostgreSQL и MongoDB от 3 лет, в том числе проектирования...Опыт в использовании Python от 3 лет. - Опыт работы с PostgreSQL и MongoDB от 3 лет, в том числе проектирования...;https://spb.hh.ru/vacancy/66696558?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
25;Backend-разработчик (Python);Новосибирск, Октябрьская и еще 1 ;ООО Онлайн Страхование;30000;70000;50000;руб;Что необходимо для работы: Разработка backend части приложений с нуля и доработка существующих. Проектирование микросервисной и/или модульной архитектуры. Опыт использования REST API. Навык работы с любой из реляционных баз данных (Postgresql, MySql) и key-value хранилищами (Redis, MemCached). ;https://spb.hh.ru/vacancy/66930680?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
26;Backend-разработчик/Python;Алматы;ТОО Wisk Telecom Solutions; ; ; ; ;Разработка новых функций. Разработка RESTful сервисов. Настройка и оптимизация PostgreSQL. Проектирование архитектуры.Желания постоянно развиваться, следить за развитием индустрии Backend разработки в целом. Умения выстраивать коммуникацию с командой. Желания постоянно улучшить продукт. ;https://spb.hh.ru/vacancy/66925381?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
27;Backend Developer / Python разработчик;Москва;hotellab.io; ; ; ; ;От 6 месяцев коммерческого опыта в Python. - ООП, Django, asyncio, aiohttp, MariaDB, PostgreSQL, Celery, RabbitMQ, Redis. - Умение решать бизнес задачи...От 6 месяцев коммерческого опыта в Python. - ООП, Django, asyncio, aiohttp, MariaDB, PostgreSQL, Celery, RabbitMQ, Redis. - Умение решать бизнес задачи...;https://spb.hh.ru/vacancy/66944419?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
28;Python-разработчик мидл (Middle Backend Python Developer);Москва, Дмитровская и еще 1 ;ООО Programmatic Group;160000;190000;175000;руб;Интеграция личного кабинета с backend при помощи OpenApi. Возможность продолжения работы в компании после завершения проекта (техническая поддержка текущего проекта...Коммерческий опыт веб-разработки и отличное знание JavaScript, стандарт ES6. Знание Python 3.8 (фреймворк: fastapi, БД: postgres, Кэш...;https://spb.hh.ru/vacancy/66714889?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
29;Back-end разработчик;Москва;Spherum;200000;300000;250000;руб;Участвовать в процессе разработки от уточнения задач и тестирования до запуска функций продукта. Создавать и поддерживать чистую архитектуру приложений. Не менее 4 лет разработки веб-API (REST) на Python. Хорошее понимание и опыт работы с asyncio. Python 3.9...;https://spb.hh.ru/vacancy/66746451?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
30;Backend разработчик Python;Москва;Finstar Financial Group;120000;120000;120000;руб;Проектирование и разработка backend сервисов. Анализ требований к программному продукту. Разработка концепции реализации требований. Поддержка работающих решений. Адаптация ПО для...Опыт в разработке на Python от 2 лет с применением Django и Django. REST framework. Знание SQL, опыт работы с...;https://spb.hh.ru/vacancy/66917488?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
31;Backend developer (Python);Москва, Красносельская;ООО Константа; ; ; ; ;Сервис написан давно и на PHP, хотим его переписать под современный стек на Python. Сервис, автоматически (без участия букмекера) рассчитывающий...Знание Python 3.6. Общее понимание работы сетевых протоколов и технологий (HTTP, WebSocket). Понимание асинхронной парадигмы программирования в Python (aiohttp...;https://spb.hh.ru/vacancy/48725584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
32;Backend Разработчик (Python);Москва, Бауманская и еще 2 ;ПАО Первая Грузовая Компания; ; ; ; ;Участие в разработке цифровых продуктов в качестве разработчика. Проектирование и реализация api-сервисов, в том числе с предиктивным функционалом. Опыт разработки на языке программирования python. Опыт работы с одним из фреймворков: FastAPI/Django/Flask. Знакомство с инструментами для разработки...;https://spb.hh.ru/vacancy/55473273?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
33;Middle Backend Developer (Python Django);Москва;ООО Платформа Сейлз Чейн;200000;250000;225000;руб;;https://spb.hh.ru/vacancy/55890457?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
34;Python Backend Developer (Middle/Remote);Санкт-Петербург;JetLend;200000;200000;200000;руб;Участие в разработке проектов компании: личные кабинеты инвестора, заемщика, партнера. При желании - участие в разработке более сложных подсистем - сбор данных...Умение писать юнит-тесты. Опыт промышленной разработки на Python от 1 года. Опыт работы с очередями задач (Celery). ;https://spb.hh.ru/vacancy/66131412?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
35;Team leader (Python);Москва;T-DIGITAL; ; ; ; ;Development of new and improvement of existing back-end and front-end functionality. Coordination of technical solutions with business, justification...Work experience in a similar position for at least 5 years. Experience of working in a team of more than...;https://spb.hh.ru/vacancy/66080157?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
36;Backend Jun+ / Middle разработчик (Python/Node.js);Алматы;ТОО GLOBAL Innotion;300000;800000;550000;kzt;Участие в разработке веб-приложений. Разработка архитектуры баз данных. Разрабатывать и развивать бэкенд платформ Компании и мобильных приложений (новые фичи...Опыт работы с технологиями контейнеризации приложений: Docker/Kubernetes. Знание Rest API. Знание Nginx. Python Flask / Node.js. Знание PostgreSql. ;https://spb.hh.ru/vacancy/55896542?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
37;Разработчик бекенд;Москва;ООО Моринтех; ; ; ; ;Разработка бекенда проектов продуктов компании. Разработка модулей подключения к внешними системам (поставщикам данных). Парсинг больших объемов данных. Автоматизация процессов парсинга. Уверенный пользователь Linux. Писать чистый код на Python 3.*. Уверенное знание основных python библиотек. Знание языка SQL, умение работать с...;https://spb.hh.ru/vacancy/55270584?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
38;Python разработчик (middle+);Москва;ShinSale; ; ; ; ;Развивать бэкенд часть нашего сайта. Разрабатывать и поддерживать внутренние сервисы, скрипты. Написание и автоматизация тестирования. Участие в проектировании новых сервисов. Базовая работа с bash. Навыки написания тестов в python. Опыт работы с системами контроля версий типа git. Навык работы с...;https://spb.hh.ru/vacancy/66854665?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
39;Backend-разработчик (junior) / Программист-разработчик Python;Москва, Румянцево;ООО Анон Технологии; ; ; ; ;Разрабатывать собственные мобильные приложения и сайты компании. Участвовать в планировании и обсуждении разрабатываемого функционала.Python 3. Django REST Framework. Huey. PostgreSQL. Redis. Основы сетевой безопасности и знание инструментов её обеспечения. Опыт работы с очередями...;https://spb.hh.ru/vacancy/66136172?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
40;Python-разработчик;Санкт-Петербург;билайн: ИТ, Data, Digital; ; ; ; ;Разработка новых продуктов на языке python. Взаимодействие с мобильным приложением со стороны backend. Интеграция системы с другими внутренними проектами. Опыт Python от 2-3 лет. Умение выбирать оптимальный стек под продукт/задачу, работать с легковесными фреймворками. Опыт работы в...;https://spb.hh.ru/vacancy/66957937?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
41;Senior Backend-разработчик;Алматы, Абая;ТОО Relog.kz;1500000;1500000;1500000;kzt;Писать сервер на javascript, Meteor, NodeJS, Go (но язык для нас не самое главное, главное - какой ты инженер). Опыт работы над высоконагруженными проектами. Желание разрабатывать ядро продукта. Знание других языков программирования GO/Python.;https://spb.hh.ru/vacancy/53790315?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
42;Разработчик Python;Москва;ООО Инспектор Клауд;120000;200000;160000;руб;Поддержка и развитие существующего кода бекендов различных сервисов компании. Проектирование и разработка новых модулей ПО. Сотрудничество с командами DevOps, компьютерного...Python, Django, SQL, REST APIs. Опыт проектирования ПО, сложившееся понимание качества ПО. Опыт разработки SaaS сервисов -- плюс.;https://spb.hh.ru/vacancy/66714717?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
43;Senior Python Backend Developer (to Cyprus);Санкт-Петербург, Электросила;FaceApp; ; ; ; ;Development of API for an application with hundreds of millions of users. Development of database architectures (PostgreSQL). Design and development...Expert knowledge of Python 3. Experience with relational databases (for example, PostgreSQL, MySQL). Knowledge of basic network protocols. ;https://spb.hh.ru/vacancy/55183737?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
44;Бэкенд-разработчик/администратор сервера;Москва;ООО Агроноут; ; ; ; ;Основные обязанности: поддержка, оптимизация и доработка ГИС-web сервера программного комплекса True Fields. Поддержка и доработка функционала серверной базы данных. Hard-skill: Python 3.8. Django 3. SHP / KML / ГИС-технологии. База данных PostgreSQL. SQL/psql – язык. Знание основ клиент...;https://spb.hh.ru/vacancy/66961310?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
45;Backend developer;Москва;АТОЛ, группа компаний; ; ; ; ;Участвовать в проектировании и реализации MDM(Mobile Device Management) системы для устройств, произведенных АТОЛ (Emdedded Linux, собственный форк Android - АТОЛ...Отличное владение python 3.6 и хорошее знание его экосистемы. Знание фреймворков aiohttp и flask. Знание принципов REST API. ;https://spb.hh.ru/vacancy/47768520?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
46;Junior/Middle Python Developer (Backend) - разработчик Питон;Новосибирск;ООО Апэрбот;60000;100000;80000;руб;Написание API на Python/Django. Автоматизация выполнения фоновых задач. Деплоймент на AWS/Azure, Windows. Написание загрузчиков информации из интернета.Навыки работы с Python/Django. Навыки работы с MySQL/Postgres, Redis. Навыки работы с HTML/CSS. Опыт работы с Linux...;https://spb.hh.ru/vacancy/66196907?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
47;Python-разработчик;Москва;Novakid Inc;200000;300000;250000;руб;Участие в разработке бэкенда образовательной платформы Новакид. Написание и поддержка юнит-тестов для своего кода. Участие в код-ревью. Опыт удаленной работы. Опыт работы с нашим стеком (см выше), любыми Python фреймворками (Bottle, Django, Flask, Pyramid и т.п...;https://spb.hh.ru/vacancy/49397922?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
48;Python-разработчик;Санкт-Петербург;Novakid Inc;200000;300000;250000;руб;Участие в разработке бэкенда образовательной платформы Новакид. Написание и поддержка юнит-тестов для своего кода. Участие в код-ревью. Опыт удаленной работы. Опыт работы с нашим стеком (см выше), любыми Python фреймворками (Bottle, Django, Flask, Pyramid и т.п...;https://spb.hh.ru/vacancy/49397923?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
49;Python-разработчик;Нижний Новгород;Novakid Inc;200000;300000;250000;руб;Участие в разработке бэкенда образовательной платформы Новакид. Написание и поддержка юнит-тестов для своего кода. Участие в код-ревью. Опыт удаленной работы. Опыт работы с нашим стеком (см выше), любыми Python фреймворками (Bottle, Django, Flask, Pyramid и т.п...;https://spb.hh.ru/vacancy/49397924?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
50;Программист Python;Казань;Тензор;120000;202000;161000;руб;На данный момент планируется выделение микросервиса в нашей инфраструктуре для ускорения backend'а продукта. В дальнейших планах добавление кроссплатформенного решения...Знание Python или иных скриптовых языков с последующей миграцией на Python. Хорошее знание SQL. Умение и желание писать качественный, поддерживаемый...;https://spb.hh.ru/vacancy/66952533?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
51;Python Developer;Москва;OpenWeather Ltd.;2000;2000;2000;eur;Design, develop and maintain new and existing Python code in accordance with the coding standards and best practices in one...Experience in backend applications (2 years). Experience in Python (sanic, FastAPI, aiohttp). Knowledge of Linux, Git, Docker, REST API. ;https://spb.hh.ru/vacancy/66203612?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
52;Автотестировщик (Python);Москва, Бауманская и еще 1 ;ООО Сервисный центр Транстелематика; ; ; ; ;Разработка автоматизированных функциональных тестов, а также backend, api, ui тестов с использованием Python 3.х. Поддержка и развитие архитектуры проекта...Знание языка разработки: Python 3.х. Опыт работы в системах баг-трекинга. Знание БД: PostgreSQL, SQLite. Опыт подготовки технической и...;https://spb.hh.ru/vacancy/66670390?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
53;Разработчик Python, Backend/Frontend;Москва;Мозаик Менеджмент;200000;200000;200000;руб;Технологический стек - Python Dash / Flask, Docker, AWS / Yandex облако (облачные функции, сервера, базы данных), Git. Функционал. Создание пользовательского Web UI...Высшее образование в профильных физмат вузах. Опыт в разработке продуктов на Python от 3х лет. Опыт разработки WebUI (Flask...;https://spb.hh.ru/vacancy/66893873?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
54;Разработчик Python;Екатеринбург, Машиностроителей;ООО Неразрушающий контроль;160000;160000;160000;руб;Разработка fullstek и backend проектов с нуля. Создание и поддержка архитектуры сбора, хранения, обработки данных, подготовки данных для использования в...Уверенное знание Python 3.9. Высшее образование (преимущественно математическое или в области информационных технологий). Опыт программирования на Python от 3...;https://spb.hh.ru/vacancy/66908178?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
55;Backend разработчик;Ижевск;CG Tribe;90000;90000;90000;руб;Опыт разработки масштабируемых высоконагруженных Web сервисов (REST API) на Python. Понимание работы протоколов TCP, HTTP(S). Опыт многопоточного и асинхронного...Опыт разработки масштабируемых высоконагруженных Web сервисов (REST API) на Python. Понимание работы протоколов TCP, HTTP(S). Опыт многопоточного и асинхронного...;https://spb.hh.ru/vacancy/55899241?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
56;Python BackEnd Developer (Retention);Москва, Кутузовская и еще 3 ;ООО Звук; ; ; ; ;Программировать на Python 2/3. Исправлять баги и оптимизировать производительность. Делать code review. Декомпозировать и оценивать трудоемкость задач. Python, PostgreSQL, FastAPI и другие сопутствующие технологии. Знание и применение на практике принципов разработки (KISS, DRY, SOLID). Опыт работы с...;https://spb.hh.ru/vacancy/54913949?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
57;Full-stack Python developer (Django);Санкт-Петербург;ООО Медиахаус;150000;250000;200000;руб;Развертывание и настройка VPS. Написание Backend на Django. Доработка вёрстки (вёрстку закажем на фрилансе). Подключение вёрстки к бэкенду. Python 3, HTML и CSS - обязательно. JavaScript - будет преимуществом. Опыт работы с Django/DRF от 3х лет. ;https://spb.hh.ru/vacancy/66592784?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
58;Backend-developer;Москва;Аналитический центр при Правительстве Российской Федерации; ; ; ; ;Разработка скриптов и сценариев загрузки данных в хранилище из различных внешних и внутренних источников. Проектирование моделей данных. Участие в разработке...Языки программирования PHP / Java / Ruby / Python. Знание SQL, опыт работы с реляционными БД (PostgreSQL, MySQL), проектирование моделей данных (Dremio и...;https://spb.hh.ru/vacancy/55901674?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
59;Старший Python-разработчик / Python (Fast Api)Backend Developer (middle+/senior level, remote work);Москва;Новео; ; ; ; ;Отличные знания и опыт разработки на Python (фреймворк Fast Api). Хорошие знания и опыт работы с реляционными базами данных (PostgreSQL...Отличные знания и опыт разработки на Python (фреймворк Fast Api). Хорошие знания и опыт работы с реляционными базами данных (PostgreSQL...;https://spb.hh.ru/vacancy/66955616?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
60;Разработчик C++ (видео-инфраструктура, backend);Москва, Таганская;ЛАЙФСТРИМ;170000;170000;170000;руб;Изучать документации индустриальных стандартов стриминговых протоколов, разрабатывать собственные библиотеки для работы с тем или иным протоколом. Поддерживать и развивать текущие...Умение писать рабочий код быстро, с последующим рефакторингом в надёжный и поддерживаемый. Знание скриптовых языков (Python, Bash). Знание компилируемых языков...;https://spb.hh.ru/vacancy/66493649?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
61;Backend разработчик;Москва;ГРАН; ; ; ; ;Архитектура системы: микросервисная. DevOps: Kubernetes, Minio, Docker, SonarQube, Prometheus  Alertmanager  Grafana, Jenkins, ArgoCD, Atlassian stack. Участие в построение архитектуры решения. Опыт написания скриптов автоматизации для CI/CD (bash, python, Java, Groovy). Опыт работы с базами данных NoSQL (Neo4j...;https://spb.hh.ru/vacancy/55872237?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
62;Python разработчик;Москва;Царенкова Элина Романовна;200000;250000;225000;руб;Разработка и поддержка бэкенда. Написание unit-тестов. Код-ревью. Общение с аналитиками, тестировщиками. Качественное и своевременное выполнение своих функций. Опыт разработки на Python от 3-х лет. Python 3.7. Kubernetes (будет плюсом). Самостоятельность, Внимательность, Ответственность. Опыт работы в...;https://spb.hh.ru/vacancy/66938727?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
63;Python разработчик;Москва, Китай-город и еще 1 ;QSOFT; ; ; ; ;Разработка и поддержка backend веб-приложения. Участвовать во всём процессе разработки, начиная с проектирования и заканчивая запуском и поддержкой, оптимизировать...Знание формата обмена данными JSON, XML, YAML. Понимание работы сервера Python совместно с Nginx. Знания MySQL / PostgreSQL (Запросы в БД...;https://spb.hh.ru/vacancy/66937131?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
64;Backend разработчик;Брянск;Kvando Technologies;25000;120000;72500;руб;Выполнение поручений под руководством профессионалов.Выпускники IT школ, курсов, выпускники бакалавриата и специалитета, а также студенты магистратуры. Опыт работы не требуется. Возможность работать полный рабочий...;https://spb.hh.ru/vacancy/66813369?from=vacancy_search_list&hhtmFrom=vacancy_search_list&query=python%20backend
